"train/global_step","Spath_len_fast_1shot - eval_mae","Spath_len_fast_1shot - eval_mae__MIN","Spath_len_fast_1shot - eval_mae__MAX","Spath_len_fast_1shot - _step","Spath_len_fast_1shot - _step__MIN","Spath_len_fast_1shot - _step__MAX"
"51","10.705882352941176","10.705882352941176","10.705882352941176","54","54","54"
"101","10.423529411764706","10.423529411764706","10.423529411764706","108","108","108"
"151","9.48235294117647","9.48235294117647","9.48235294117647","162","162","162"
"201","9.235294117647058","9.235294117647058","9.235294117647058","216","216","216"
"251","9.176470588235293","9.176470588235293","9.176470588235293","270","270","270"
"301","9.282352941176471","9.282352941176471","9.282352941176471","324","324","324"
"351","8.588235294117647","8.588235294117647","8.588235294117647","378","378","378"
"401","9.376470588235295","9.376470588235295","9.376470588235295","432","432","432"
"451","8.75294117647059","8.75294117647059","8.75294117647059","486","486","486"
"501","8.647058823529411","8.647058823529411","8.647058823529411","540","540","540"
"551","8.976470588235294","8.976470588235294","8.976470588235294","594","594","594"
"601","8.388235294117647","8.388235294117647","8.388235294117647","648","648","648"
"651","8.305882352941177","8.305882352941177","8.305882352941177","702","702","702"
"701","8.717647058823529","8.717647058823529","8.717647058823529","756","756","756"
"751","9.211764705882352","9.211764705882352","9.211764705882352","810","810","810"
"801","8.31764705882353","8.31764705882353","8.31764705882353","864","864","864"
"851","8.223529411764705","8.223529411764705","8.223529411764705","918","918","918"
"901","8.552941176470588","8.552941176470588","8.552941176470588","972","972","972"
"951","8.952941176470588","8.952941176470588","8.952941176470588","1026","1026","1026"
"1001","8.4","8.4","8.4","1080","1080","1080"
"1051","7.705882352941177","7.705882352941177","7.705882352941177","1134","1134","1134"
"1101","7.8352941176470585","7.8352941176470585","7.8352941176470585","1188","1188","1188"
"1151","8.388235294117647","8.388235294117647","8.388235294117647","1242","1242","1242"
"1201","8.305882352941177","8.305882352941177","8.305882352941177","1296","1296","1296"
"1251","8.223529411764705","8.223529411764705","8.223529411764705","1350","1350","1350"
"1301","8.894117647058824","8.894117647058824","8.894117647058824","1404","1404","1404"
"1351","7.670588235294118","7.670588235294118","7.670588235294118","1458","1458","1458"
"1401","8.188235294117646","8.188235294117646","8.188235294117646","1512","1512","1512"
"1451","7.7176470588235295","7.7176470588235295","7.7176470588235295","1566","1566","1566"
"1501","8.223529411764705","8.223529411764705","8.223529411764705","1620","1620","1620"
"1551","7.623529411764705","7.623529411764705","7.623529411764705","1674","1674","1674"
"1601","8.211764705882352","8.211764705882352","8.211764705882352","1728","1728","1728"
"1651","8.329411764705883","8.329411764705883","8.329411764705883","1782","1782","1782"
"1701","7.764705882352941","7.764705882352941","7.764705882352941","1836","1836","1836"
"1751","7.105882352941176","7.105882352941176","7.105882352941176","1890","1890","1890"
"1801","6.8","6.8","6.8","1944","1944","1944"
"1851","7.352941176470588","7.352941176470588","7.352941176470588","1998","1998","1998"
"1901","6.940476190476191","6.940476190476191","6.940476190476191","2052","2052","2052"
"1951","6.529411764705882","6.529411764705882","6.529411764705882","2106","2106","2106"
"2001","6.870588235294117","6.870588235294117","6.870588235294117","2160","2160","2160"
"2051","7.588235294117647","7.588235294117647","7.588235294117647","2214","2214","2214"
"2101","7.305882352941176","7.305882352941176","7.305882352941176","2268","2268","2268"
"2151","7.411764705882353","7.411764705882353","7.411764705882353","2322","2322","2322"
"2201","6.552941176470588","6.552941176470588","6.552941176470588","2376","2376","2376"
"2251","6.447058823529412","6.447058823529412","6.447058823529412","2430","2430","2430"
"2301","7.7176470588235295","7.7176470588235295","7.7176470588235295","2484","2484","2484"
"2351","7.035294117647059","7.035294117647059","7.035294117647059","2538","2538","2538"
"2401","6.929411764705883","6.929411764705883","6.929411764705883","2592","2592","2592"
"2451","7.270588235294118","7.270588235294118","7.270588235294118","2646","2646","2646"
"2501","6.435294117647059","6.435294117647059","6.435294117647059","2700","2700","2700"
"2551","6.847058823529411","6.847058823529411","6.847058823529411","2754","2754","2754"
"2601","8.470588235294118","8.470588235294118","8.470588235294118","2808","2808","2808"
"2651","6.729411764705882","6.729411764705882","6.729411764705882","2862","2862","2862"
"2701","8.352941176470589","8.352941176470589","8.352941176470589","2916","2916","2916"
"2751","8.68235294117647","8.68235294117647","8.68235294117647","2970","2970","2970"
"2801","9.270588235294118","9.270588235294118","9.270588235294118","3024","3024","3024"
"2851","8.6","8.6","8.6","3078","3078","3078"
"2901","8.270588235294118","8.270588235294118","8.270588235294118","3132","3132","3132"
"2951","8.305882352941177","8.305882352941177","8.305882352941177","3186","3186","3186"
"3001","7.635294117647059","7.635294117647059","7.635294117647059","3240","3240","3240"
"3051","8.188235294117646","8.188235294117646","8.188235294117646","3294","3294","3294"
"3101","7.776470588235294","7.776470588235294","7.776470588235294","3348","3348","3348"
"3151","8.095238095238095","8.095238095238095","8.095238095238095","3402","3402","3402"
"3201","8.48235294117647","8.48235294117647","8.48235294117647","3456","3456","3456"
"3251","8.152941176470588","8.152941176470588","8.152941176470588","3510","3510","3510"
"3301","7.964705882352941","7.964705882352941","7.964705882352941","3564","3564","3564"
"3351","7.7176470588235295","7.7176470588235295","7.7176470588235295","3618","3618","3618"
"3401","8.31764705882353","8.31764705882353","8.31764705882353","3672","3672","3672"
"3451","7.964705882352941","7.964705882352941","7.964705882352941","3726","3726","3726"
"3501","8.142857142857142","8.142857142857142","8.142857142857142","3780","3780","3780"
"3551","7.847058823529411","7.847058823529411","7.847058823529411","3834","3834","3834"
"3601","8.529411764705882","8.529411764705882","8.529411764705882","3888","3888","3888"
"3651","8.270588235294118","8.270588235294118","8.270588235294118","3942","3942","3942"
"3701","7.8","7.8","7.8","3996","3996","3996"
"3751","8.24705882352941","8.24705882352941","8.24705882352941","4050","4050","4050"
"3801","7.176470588235294","7.176470588235294","7.176470588235294","4104","4104","4104"
"3851","7.411764705882353","7.411764705882353","7.411764705882353","4158","4158","4158"
"3901","7.141176470588236","7.141176470588236","7.141176470588236","4212","4212","4212"
"3951","7.258823529411765","7.258823529411765","7.258823529411765","4266","4266","4266"
"4001","6.858823529411764","6.858823529411764","6.858823529411764","4320","4320","4320"
"4051","6.341176470588235","6.341176470588235","6.341176470588235","4374","4374","4374"
"4101","7.070588235294117","7.070588235294117","7.070588235294117","4428","4428","4428"
"4151","8.941176470588236","8.941176470588236","8.941176470588236","4482","4482","4482"
"4201","8.75294117647059","8.75294117647059","8.75294117647059","4536","4536","4536"
"4251","8.858823529411765","8.858823529411765","8.858823529411765","4590","4590","4590"
"4301","7.4941176470588236","7.4941176470588236","7.4941176470588236","4644","4644","4644"
