"train/global_step","Spath_len_fast_3shot - eval_mae","Spath_len_fast_3shot - eval_mae__MIN","Spath_len_fast_3shot - eval_mae__MAX","Spath_len_fast_3shot - _step","Spath_len_fast_3shot - _step__MIN","Spath_len_fast_3shot - _step__MAX"
"51","10.635294117647058","10.635294117647058","10.635294117647058","54","54","54"
"101","9.988235294117647","9.988235294117647","9.988235294117647","108","108","108"
"151","10.364705882352942","10.364705882352942","10.364705882352942","162","162","162"
"201","9.6","9.6","9.6","216","216","216"
"251","8.764705882352942","8.764705882352942","8.764705882352942","270","270","270"
"301","9.458823529411765","9.458823529411765","9.458823529411765","324","324","324"
"351","9.294117647058824","9.294117647058824","9.294117647058824","378","378","378"
"401","11.776470588235295","11.776470588235295","11.776470588235295","432","432","432"
"451","10.058823529411764","10.058823529411764","10.058823529411764","486","486","486"
"501","9.070588235294117","9.070588235294117","9.070588235294117","540","540","540"
"551","9.647058823529411","9.647058823529411","9.647058823529411","594","594","594"
"601","9.48235294117647","9.48235294117647","9.48235294117647","648","648","648"
"651","9.611764705882353","9.611764705882353","9.611764705882353","702","702","702"
"701","9.388235294117647","9.388235294117647","9.388235294117647","756","756","756"
"751","9.023529411764706","9.023529411764706","9.023529411764706","810","810","810"
"801","8.976470588235294","8.976470588235294","8.976470588235294","864","864","864"
"851","9.24705882352941","9.24705882352941","9.24705882352941","918","918","918"
"901","9.31764705882353","9.31764705882353","9.31764705882353","972","972","972"
"951","9.282352941176471","9.282352941176471","9.282352941176471","1026","1026","1026"
"1001","9.329411764705883","9.329411764705883","9.329411764705883","1080","1080","1080"
"1051","8.011764705882353","8.011764705882353","8.011764705882353","1134","1134","1134"
"1101","8.694117647058823","8.694117647058823","8.694117647058823","1188","1188","1188"
"1151","8.576470588235294","8.576470588235294","8.576470588235294","1242","1242","1242"
"1201","9.341176470588236","9.341176470588236","9.341176470588236","1296","1296","1296"
"1251","8.738095238095237","8.738095238095237","8.738095238095237","1350","1350","1350"
"1301","8.435294117647059","8.435294117647059","8.435294117647059","1404","1404","1404"
"1351","8.511904761904763","8.511904761904763","8.511904761904763","1458","1458","1458"
"1401","8.388235294117647","8.388235294117647","8.388235294117647","1512","1512","1512"
"1451","8.511904761904763","8.511904761904763","8.511904761904763","1566","1566","1566"
"1501","9.301204819277109","9.301204819277109","9.301204819277109","1620","1620","1620"
"1551","8.129411764705882","8.129411764705882","8.129411764705882","1674","1674","1674"
"1601","8.142857142857142","8.142857142857142","8.142857142857142","1728","1728","1728"
"1651","7.447058823529412","7.447058823529412","7.447058823529412","1782","1782","1782"
"1701","9.117647058823529","9.117647058823529","9.117647058823529","1836","1836","1836"
"1751","7.517647058823529","7.517647058823529","7.517647058823529","1890","1890","1890"
"1801","7.682352941176471","7.682352941176471","7.682352941176471","1944","1944","1944"
"1851","8.458823529411765","8.458823529411765","8.458823529411765","1998","1998","1998"
"1901","7.823529411764706","7.823529411764706","7.823529411764706","2052","2052","2052"
"1951","7.752941176470588","7.752941176470588","7.752941176470588","2106","2106","2106"
"2001","8.305882352941177","8.305882352941177","8.305882352941177","2160","2160","2160"
"2051","9.270588235294118","9.270588235294118","9.270588235294118","2214","2214","2214"
"2101","8.258823529411766","8.258823529411766","8.258823529411766","2268","2268","2268"
"2151","37.55294117647059","37.55294117647059","37.55294117647059","2322","2322","2322"
"2201","8.152941176470588","8.152941176470588","8.152941176470588","2376","2376","2376"
"2251","7.776470588235294","7.776470588235294","7.776470588235294","2430","2430","2430"
"2301","7.847058823529411","7.847058823529411","7.847058823529411","2484","2484","2484"
"2351","7.658823529411765","7.658823529411765","7.658823529411765","2538","2538","2538"
"2401","24.2","24.2","24.2","2592","2592","2592"
"2451","7.6117647058823525","7.6117647058823525","7.6117647058823525","2646","2646","2646"
"2501","7.741176470588235","7.741176470588235","7.741176470588235","2700","2700","2700"
"2551","8.258823529411766","8.258823529411766","8.258823529411766","2754","2754","2754"
"2601","7.952941176470588","7.952941176470588","7.952941176470588","2808","2808","2808"
"2651","8.48235294117647","8.48235294117647","8.48235294117647","2862","2862","2862"
"2701","8.811764705882354","8.811764705882354","8.811764705882354","2916","2916","2916"
"2751","8.811764705882354","8.811764705882354","8.811764705882354","2970","2970","2970"
"2801","9.188235294117646","9.188235294117646","9.188235294117646","3024","3024","3024"
"2851","8.91764705882353","8.91764705882353","8.91764705882353","3078","3078","3078"
"2901","9.117647058823529","9.117647058823529","9.117647058823529","3132","3132","3132"
"2951","8.6","8.6","8.6","3186","3186","3186"
"3001","8.388235294117647","8.388235294117647","8.388235294117647","3240","3240","3240"
"3051","4522.823529411765","4522.823529411765","4522.823529411765","3294","3294","3294"
"3101","8.705882352941176","8.705882352941176","8.705882352941176","3348","3348","3348"
"3151","9.352941176470589","9.352941176470589","9.352941176470589","3402","3402","3402"
"3201","8.91764705882353","8.91764705882353","8.91764705882353","3456","3456","3456"
"3251","8.364705882352942","8.364705882352942","8.364705882352942","3510","3510","3510"
"3301","8.070588235294117","8.070588235294117","8.070588235294117","3564","3564","3564"
"3351","7.858823529411764","7.858823529411764","7.858823529411764","3618","3618","3618"
"3401","8.047058823529412","8.047058823529412","8.047058823529412","3672","3672","3672"
"3451","8.070588235294117","8.070588235294117","8.070588235294117","3726","3726","3726"
"3501","7.905882352941177","7.905882352941177","7.905882352941177","3780","3780","3780"
"3551","8.68235294117647","8.68235294117647","8.68235294117647","3834","3834","3834"
"3601","7.6117647058823525","7.6117647058823525","7.6117647058823525","3888","3888","3888"
"3651","8.058823529411764","8.058823529411764","8.058823529411764","3942","3942","3942"
"3701","439692229115875840","439692229115875840","439692229115875840","3996","3996","3996"
"3751","56.1764705882353","56.1764705882353","56.1764705882353","4050","4050","4050"
"3801","8.470588235294118","8.470588235294118","8.470588235294118","4104","4104","4104"
"3851","163.1529411764706","163.1529411764706","163.1529411764706","4158","4158","4158"
"3901","8.08235294117647","8.08235294117647","8.08235294117647","4212","4212","4212"
"3951","8.226190476190476","8.226190476190476","8.226190476190476","4266","4266","4266"
"4001","8","8","8","4320","4320","4320"
"4051","8.16470588235294","8.16470588235294","8.16470588235294","4374","4374","4374"
"4101","8.117647058823529","8.117647058823529","8.117647058823529","4428","4428","4428"
"4151","8.352941176470589","8.352941176470589","8.352941176470589","4482","4482","4482"
"4201","7.847058823529411","7.847058823529411","7.847058823529411","4536","4536","4536"
"4251","7.247058823529412","7.247058823529412","7.247058823529412","4590","4590","4590"
"4301","6.8352941176470585","6.8352941176470585","6.8352941176470585","4644","4644","4644"
"4351","7.119047619047619","7.119047619047619","7.119047619047619","4698","4698","4698"
"4401","9.529411764705882","9.529411764705882","9.529411764705882","4752","4752","4752"
"4451","6.929411764705883","6.929411764705883","6.929411764705883","4806","4806","4806"
"4501","7.458823529411765","7.458823529411765","7.458823529411765","4860","4860","4860"
"4551","7.226190476190476","7.226190476190476","7.226190476190476","4914","4914","4914"
"4601","6.823529411764706","6.823529411764706","6.823529411764706","4968","4968","4968"
"4651","6.894117647058824","6.894117647058824","6.894117647058824","5022","5022","5022"
"4701","7.658823529411765","7.658823529411765","7.658823529411765","5076","5076","5076"
"4751","6.988095238095238","6.988095238095238","6.988095238095238","5130","5130","5130"
"4801","6.047058823529412","6.047058823529412","6.047058823529412","5184","5184","5184"
"4851","6.9411764705882355","6.9411764705882355","6.9411764705882355","5238","5238","5238"
"4901","6.894117647058824","6.894117647058824","6.894117647058824","5292","5292","5292"
"4951","63.2","63.2","63.2","5346","5346","5346"
"5001","7.08235294117647","7.08235294117647","7.08235294117647","5400","5400","5400"
"5051","6.964705882352941","6.964705882352941","6.964705882352941","5454","5454","5454"
"5101","6.3882352941176475","6.3882352941176475","6.3882352941176475","5508","5508","5508"
"5151","7.905882352941177","7.905882352941177","7.905882352941177","5562","5562","5562"
"5201","6.576470588235294","6.576470588235294","6.576470588235294","5616","5616","5616"
"5251","7.352941176470588","7.352941176470588","7.352941176470588","5670","5670","5670"
"5301","7.294117647058823","7.294117647058823","7.294117647058823","5724","5724","5724"
"5351","6.4941176470588236","6.4941176470588236","6.4941176470588236","5778","5778","5778"
