"train/global_step","Spath_len_fast_baseline_shuffle - eval_mae","Spath_len_fast_baseline_shuffle - eval_mae__MIN","Spath_len_fast_baseline_shuffle - eval_mae__MAX","Spath_len_fast_baseline_shuffle - _step","Spath_len_fast_baseline_shuffle - _step__MIN","Spath_len_fast_baseline_shuffle - _step__MAX"
"51","10.435294117647059","10.435294117647059","10.435294117647059","54","54","54"
"101","10.105882352941176","10.105882352941176","10.105882352941176","108","108","108"
"151","10.717647058823529","10.717647058823529","10.717647058823529","162","162","162"
"201","9.847058823529412","9.847058823529412","9.847058823529412","216","216","216"
"251","9.294117647058824","9.294117647058824","9.294117647058824","270","270","270"
"301","9.08235294117647","9.08235294117647","9.08235294117647","324","324","324"
"351","8.941176470588236","8.941176470588236","8.941176470588236","378","378","378"
"401","8.141176470588235","8.141176470588235","8.141176470588235","432","432","432"
"451","8.223529411764705","8.223529411764705","8.223529411764705","486","486","486"
"501","8.48235294117647","8.48235294117647","8.48235294117647","540","540","540"
"551","7.258823529411765","7.258823529411765","7.258823529411765","594","594","594"
"601","8.2","8.2","8.2","648","648","648"
"651","7.764705882352941","7.764705882352941","7.764705882352941","702","702","702"
"701","7.964705882352941","7.964705882352941","7.964705882352941","756","756","756"
"751","8.31764705882353","8.31764705882353","8.31764705882353","810","810","810"
"801","7.764705882352941","7.764705882352941","7.764705882352941","864","864","864"
"851","8","8","8","918","918","918"
"901","8.541176470588235","8.541176470588235","8.541176470588235","972","972","972"
"951","7.858823529411764","7.858823529411764","7.858823529411764","1026","1026","1026"
"1001","8.094117647058823","8.094117647058823","8.094117647058823","1080","1080","1080"
"1051","7.576470588235294","7.576470588235294","7.576470588235294","1134","1134","1134"
"1101","7.788235294117647","7.788235294117647","7.788235294117647","1188","1188","1188"
"1151","7.588235294117647","7.588235294117647","7.588235294117647","1242","1242","1242"
"1201","7.588235294117647","7.588235294117647","7.588235294117647","1296","1296","1296"
"1251","8.070588235294117","8.070588235294117","8.070588235294117","1350","1350","1350"
"1301","7.976470588235294","7.976470588235294","7.976470588235294","1404","1404","1404"
"1351","7.4","7.4","7.4","1458","1458","1458"
"1401","7.623529411764705","7.623529411764705","7.623529411764705","1512","1512","1512"
"1451","7.470588235294118","7.470588235294118","7.470588235294118","1566","1566","1566"
"1501","7.364705882352941","7.364705882352941","7.364705882352941","1620","1620","1620"
"1551","22.2","22.2","22.2","1674","1674","1674"
"1601","7.8352941176470585","7.8352941176470585","7.8352941176470585","1728","1728","1728"
"1651","7.741176470588235","7.741176470588235","7.741176470588235","1782","1782","1782"
"1701","6.705882352941177","6.705882352941177","6.705882352941177","1836","1836","1836"
"1751","6.729411764705882","6.729411764705882","6.729411764705882","1890","1890","1890"
"1801","6.988235294117647","6.988235294117647","6.988235294117647","1944","1944","1944"
"1851","7.129411764705883","7.129411764705883","7.129411764705883","1998","1998","1998"
"1901","7.517647058823529","7.517647058823529","7.517647058823529","2052","2052","2052"
